File,Sentence1,Sentence2,Sentence3,Sentence4
bounce_behind_4.mp4,The grey triangle moves halfway across the frame.,The bridge is brown.,The triange bounces under the bridge.,
bounce_past_7.mp4,The pink circle slides in front of the bridge.,The bridge is brown.,The circle faces upwards while moving.,
bounce_underfar_5.mp4,The pink circle flies through the air.,The cirlcle lands on top of the bridge.,The bridge is brown.,
halfrotate_behind_5.mp4,The green polygon jumps to the bottom of the frame.,The ground is red.,It quickly bounces away from the brown bridge.,It stops behind a yellow strip.
halfrotate_under_5.mp4,The grey triangle bounces quicklly.,It moves forward.,It stops under the brown bridge.,
halfrotate_underfar_6.mp4,The grey traingle moves towards the bridge.,It passes in front of the bridge.,It bounces quickly forward.,
none_control1_8.mp4,The grey triangle bonces quickly forward.,It stops under the brown bridge.,The tirangle passes behind the first leg of the bridge.,
none_control3_1.mp4,The blue right triangle scoots forward.,It stops under the middle of the bridge.,The triangle passes in front of the bridge.,
none_control4_8.mp4,The grey triangle scoots forward.,It passes in front of the bridge.,The grey triangle stops at the other end of the bridge.,The bridge is brown.
none_control6_7.mp4,The yellow triangle hops forward.,The triangle passes in front of the bridge.,The triangle stops at the end of the bridge.,
rock_circle_3.mp4,The yellow triangle hops forward.,The triangle stops at the start of the bridge.,The triange moves in front of the bridge.,
rock_onto_1.mp4,The yellow triangle bounces through the air.,It climbs an imaginary staircase.,The triangle lands at the top the the bridge.,
rock_to_1.mp4,The pink circle rolls towards the bridge.,The circle stops at the start of the bridge.,It stops in front of the bridge.,
rock_tofar_3.mp4,The pink circle scoots forward.,It rocks back and forth. ,It moves the the end of the bridge.,The circle passes in front of the brige.
rotate_to_3.mp4,The yellow triangle rocks back and forth.,It shuffles towards the bridge.,It stops in front of the bridge.,
sine_onto_1.mp4,The yellow triangle moves through the air.,It rocks back and forth. ,It floats up to the top of the bridge.,
sine_to_1.mp4,The pink circle scoots forward to the middle of the bridge.,It moves in front of the bridge.,The circle changes directions at the middle of the bridge.,The circle scoots backwards behind the bridge.
sine_tofar_1.mp4,The greeen polygon sits beneath the bridge.,The bridge is brown.,The frame bounces around the screen.,The ground is red.
stopstart_past_4.mp4,The grey rectangle sits on the ground.,The ground is red.,There is a brown bridge in the background.,The middle of the bridge is upscreen from the rectangle's position.
stopstart_under_6.mp4,The yellow triangle sits at the end of the bridge.,It rests in front of the bridge.,The movie bounces around the screen.,
vibrate_behind_4.mp4,The grey rectangle rests in front of the bridge.,It doesn't move from its position.,There is a brown bridge in front of the rectangle.,
vibrate_past_4.mp4,The blue triangle tips back and forth.,It moves forward and away from the bridge.,The triangle stops in the bottom right corner.,The ground is red.
vibrate_under_4.mp4,The purple square rocks back and forth.,The square moves forward.,The square passes in front of the bridge.,It stops under the middle of the bridge.
vibrate_underfar_7.mp4,The purple square rocks back and forth.,It passes in behind the bridge.,It stops behind the first pillar of the bridge.,The bridge is brown.